year,name,dashboardKey,URLs,description,complexity,ownership,impact
2017,SMZDM UI Clone Demo,2017::SMZDM UI Clone Demo,"[""https://www.hrjlhy.com/smzdm.html""]","A desktop e-commerce homepage clone used to practice dense navigation, ranking blocks, promotional modules, and pixel-level frontend layout outside a production team.",48,96,30
2017,Personal Portfolio v1.0,2017::Personal Portfolio v1.0,"[""https://www.hrjlhy.com/index_old.html""]","An early personal portfolio site that organized my web, GIS, education, and work history into a public-facing Bootstrap-style career page.",52,100,58
2017,Smart Insurance Marketing System (mobile),2017::Smart Insurance Marketing System (mobile),"[""https://www.hrjlhy.com/zhyx/index.html"", ""https://www.hrjlhy.com/zhyx/daily_form.html"", ""https://www.hrjlhy.com/zhyx/form_integrate.html"", ""https://www.hrjlhy.com/zhyx/form_personnel.html"", ""https://www.hrjlhy.com/zhyx/tags_add.html"", ""https://www.hrjlhy.com/zhyx/fail.html"", ""https://www.hrjlhy.com/zhyx/myClient_s.html"", ""https://www.hrjlhy.com/zhyx/news.html"", ""https://www.hrjlhy.com/zhyx/orderdetails.html"", ""https://www.hrjlhy.com/zhyx/phoneBook.html"", ""https://www.hrjlhy.com/zhyx/questionnaire.html"", ""https://www.hrjlhy.com/zhyx/touchTrack.html""]","A mobile agent-facing insurance marketing system with customer tracking, questionnaires, tags, orders, phone-book, and touch-record pages, where my contribution was mainly frontend implementation within a larger product team.",72,48,82
2017,Insurance Content Publishing Platform (mobile),2017::Insurance Content Publishing Platform (mobile),"[""https://www.hrjlhy.com/Content%20Marketing/html/views/my.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/essay.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/public.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/share.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/detail.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit_b.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit_c.html""]","A mobile content-marketing platform for insurance agents to draft, edit, publish, preview, and share articles, delivered primarily as frontend page flows in a team-built platform.",66,46,74
2017,Hongkang Life Insurance Materials (mobile),2017::Hongkang Life Insurance Materials (mobile),"[""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(1).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(2).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(3).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(4).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(5).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(6).html""]","A set of mobile insurance-material pages for presenting long policy documents and product text clearly in WeChat-like mobile browsing contexts, with my work focused on stable frontend presentation.",42,42,56
2018,Huaxia Insurance Application Portal (mobile),2018::Huaxia Insurance Application Portal (mobile),"[""https://www.hrjlhy.com/Huaxia%20Insure/inform.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/pay_finish.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/customerinfo.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/complete.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/confirminfo.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/confirminfo_other.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/plan.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/tranfer_fee.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/tranfer_fee_err.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/add_bank_card.html""]","A mobile insurance application portal covering customer information, plan confirmation, bank-card entry, payment, transfer-fee states, and error pages, implemented as frontend screens for a broader transactional system.",73,50,84
2018,Micro Class Agent Training Platform (mobile),2018::Micro Class Agent Training Platform (mobile),"[""https://www.hrjlhy.com/Micro%20Class/views/group_manage/add_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/cut_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/group_manage.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/group_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/new_group.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/revise_meet.html"", ""https://www.hrjlhy.com/Micro%20Class/views/marketing_zone/article_increase.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting_data.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting_list.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/meetinglist.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/meetingsum.html"", ""https://www.hrjlhy.com/Micro%20Class/views/mine/member_manage.html"", ""https://www.hrjlhy.com/Micro%20Class/views/mine/mine.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/course_details.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/information.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/school.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/bindfail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/bindsuccess.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/enterprise.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/fail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/signup.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/success.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/success_next.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/examfail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/examsuccess.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/schedule.html""]","A large mobile training platform for insurance agents with meetings, group management, exams, schedules, member lists, and learning pages, where I owned significant frontend delivery while backend/testing/design were handled by others.",82,54,88
2018,Love & Peace Life Insurance Portal,2018::Love & Peace Life Insurance Portal,"[""https://www.hrjlhy.com/Love&Peace%20Life%20Insurance/index.html""]","A branded life-insurance campaign portal focused on product storytelling and trust-building, representing a smaller frontend marketing deliverable within an insurance web project set.",45,42,54
2018,Windows 10 UI Clone Demo,2018::Windows 10 UI Clone Demo,"[""https://www.hrjlhy.com/win10.html""]","A browser-based Windows 10 UI clone created as a personal frontend experiment in desktop-style layout, icons, panels, and interaction polish.",54,96,34
2019,Insurance Lottery Campaign (mobile),2019::Insurance Lottery Campaign (mobile),"[""https://www.hrjlhy.com/Lottery%20turntable/turntable_draw.html""]","A mobile insurance lottery campaign with turntable drawing, points, remaining chances, prize records, rules, winning dialogs, and address collection, implemented mainly as promotional frontend logic.",62,50,68
